!Experiment Random Multi Restart #Runs Limit 1[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
2000 5 1 basic first_move 2.592000 1 3205211 3205211.000000 0.000000 4224.000000 0.000000 0.000000 0.000000 0.000000
2000 5 2 bs_array first_move 0.169000 1 3244982 3244982.000000 0.000000 4500.000000 0.000000 0.000000 0.000000 0.000000
2000 5 2 tree first_move 0.918000 1 3234211 3234211.000000 0.000000 4209.000000 0.000000 0.000000 0.000000 0.000000
2000 5 2 basic first_move 2.035000 1 3240838 3240838.000000 0.000000 4373.000000 0.000000 0.000000 0.000000 0.000000
2000 5 3 bs_array first_move 0.157000 1 3190144 3190144.000000 0.000000 4254.000000 0.000000 0.000000 0.000000 0.000000
2000 5 3 tree first_move 0.895000 1 3191148 3191148.000000 0.000000 4159.000000 0.000000 0.000000 0.000000 0.000000
2000 5 3 basic first_move 2.617000 1 3189604 3189604.000000 0.000000 4302.000000 0.000000 0.000000 0.000000 0.000000
2000 5 4 bs_array first_move 0.145000 1 3228459 3228459.000000 0.000000 4167.000000 0.000000 0.000000 0.000000 0.000000
2000 5 4 tree first_move 0.987000 1 3238040 3238040.000000 0.000000 4386.000000 0.000000 0.000000 0.000000 0.000000
2000 5 4 basic first_move 2.105000 1 3234791 3234791.000000 0.000000 4237.000000 0.000000 0.000000 0.000000 0.000000
2000 5 5 bs_array first_move 0.126000 1 3192773 3192773.000000 0.000000 4188.000000 0.000000 0.000000 0.000000 0.000000
2000 5 5 tree first_move 1.136000 1 3193814 3193814.000000 0.000000 4229.000000 0.000000 0.000000 0.000000 0.000000
2000 5 5 basic first_move 2.372000 1 3191908 3191908.000000 0.000000 4187.000000 0.000000 0.000000 0.000000 0.000000
2000 10 1 bs_array first_move 0.433000 1 6110622 6110622.000000 0.000000 4981.000000 0.000000 0.000000 0.000000 0.000000
